study,task,model,method,method_label,seeds,f1_mean,f1_sd,accuracy_mean,precision_mean,recall_mean,train_seconds_mean,train_seconds_sd,trainable_params_mean,trainable_ratio_mean,train_rows,validation_rows,test_rows,epochs,delta_f1_vs_full,time_saving_vs_full_pct
study1,measuring_hate_speech,vinai/bertweet-base,full_ft,Full Fine-tuning,5,0.8147561452305476,0.0005051796353951691,0.8215697845972263,0.8150447974332369,0.8144881405554235,749.8494445799995,3.25247885661958,134901506,1.0,108444,13556,13556,3,0.0,0.0
study1,measuring_hate_speech,vinai/bertweet-base,adapter,Adapter,5,0.8118812376906004,0.0006721587867891039,0.819341988787253,0.813224485602646,0.8107353277628283,610.0408174599986,1.5989591152316793,1781762,0.013092417523909602,108444,13556,13556,3,-0.0028749075399472357,18.644893068942597
study1,measuring_hate_speech,vinai/bertweet-base,lora,LoRA,5,0.8093203430649674,0.0010488909872187553,0.816627323694305,0.8101356904608631,0.8085809571849973,707.2427008800034,5.932566957268881,887042,0.0065325243775344,108444,13556,13556,3,-0.005435802165580261,5.682039775846024
study1,measuring_hate_speech,vinai/bertweet-base,bitfit,BitFit,5,0.8068492524951034,0.00037429184958015206,0.8141044555916199,0.80739035428549,0.8063441053442715,589.2172896400007,2.2880477132201604,694274,0.005146525198910678,108444,13556,13556,3,-0.007906892735444204,21.421920907065683
study1,measuring_hate_speech,vinai/bertweet-base,ia3,IA3,5,0.7998398342345208,0.00042851681418941173,0.8078489229861315,0.801254724338239,0.798636795674623,643.5826914600009,10.283872584928964,619778,0.004573289019310059,108444,13556,13556,3,-0.01491631099602686,14.17174526007951
study2,finance_sentiment,FacebookAI/roberta-base,full_ft,Full Fine-tuning,5,0.8363941080897869,0.006915513443521159,0.8528925619834711,0.8240735530828139,0.8513294682127149,54.46981098000542,0.25873525940318687,124647939,1.0,3872,484,484,2,0.0,0.0
study2,finance_sentiment,FacebookAI/roberta-base,ia3,IA3,5,0.3657908767317525,0.007674037663419743,0.6384297520661157,0.3766739770422737,0.39937657990025277,55.91992935999879,1.0212612245121622,620547,0.004953735930040697,3872,484,484,2,-0.4706032313580344,-2.662242357561465
study2,finance_sentiment,FacebookAI/roberta-base,lora,LoRA,5,0.3247897563214468,0.03346468514788883,0.6219008264462811,0.393650279498371,0.373578943772631,55.290068060002525,3.5793553924705095,887811,0.007072176650874352,3872,484,484,2,-0.5116043517683401,-1.5058930171397191
study2,finance_sentiment,FacebookAI/roberta-base,bitfit,BitFit,5,0.24816255944660615,0.0,0.5929752066115702,0.19765840220385675,0.3333333333333333,53.62048126000445,0.443121956599897,695043,0.005576048874743128,3872,484,484,2,-0.5882315486431807,1.559266875944797
study2,finance_sentiment,FacebookAI/roberta-base,adapter,Adapter,5,0.24816255944660615,0.0,0.5929752066115702,0.19765840220385675,0.3333333333333333,57.416171800001756,1.9885564050863596,1782531,0.014165332228162606,3872,484,484,2,-0.5882315486431807,-5.409162923436388
study2,finance_sentiment,vinai/bertweet-base,full_ft,Full Fine-tuning,5,0.7616195225153217,0.08515516106728123,0.8144628099173554,0.7896422828190001,0.760897237743558,55.08679863999714,0.9380937463286694,134902275,1.0,3872,484,484,2,0.0,0.0
study2,finance_sentiment,vinai/bertweet-base,ia3,IA3,5,0.5594945799893298,0.01173663557398158,0.7078512396694215,0.6664026758787611,0.5358691817390691,50.39455995999742,0.057133446461158414,620547,0.0045789114397278416,3872,484,484,2,-0.2021249425259919,8.517900469519756
study2,finance_sentiment,vinai/bertweet-base,adapter,Adapter,5,0.41779148555194306,0.004368380982285197,0.6702479338842975,0.4098117582218993,0.4440851950536312,50.276636199996574,0.303695054259868,1782531,0.01309799413715321,3872,484,484,2,-0.34382803696337866,8.73196947137173
study2,finance_sentiment,vinai/bertweet-base,bitfit,BitFit,5,0.4121198304306275,0.008842808485279526,0.6673553719008265,0.4081233905932038,0.43859055817448933,49.71580729999696,0.4839287328267429,695043,0.005152196284310254,3872,484,484,2,-0.3494996920846942,9.75005168679459
study2,finance_sentiment,vinai/bertweet-base,lora,LoRA,5,0.3995934422756136,0.004209667898228785,0.6586776859504132,0.3988078538659985,0.4272648083623694,53.125977499998406,0.5319505065829668,887811,0.006538113540925218,3872,484,484,2,-0.3620260802397081,3.559511876544288
study2,movie_reviews,FacebookAI/roberta-base,full_ft,Full Fine-tuning,5,0.9107991568607519,0.001397809988196962,0.9108,0.9108155875212912,0.9108,138.51633068000083,0.2910442212921791,124647170,1.0,22500,2500,25000,2,0.0,0.0
study2,movie_reviews,FacebookAI/roberta-base,adapter,Adapter,5,0.9002458599257805,0.000473426055243726,0.900248,0.9002822402042865,0.900248,114.88839191999868,0.576547020235324,1781762,0.014159307703957702,22500,2500,25000,2,-0.010553296934971312,17.05787226965115
study2,movie_reviews,FacebookAI/roberta-base,lora,LoRA,5,0.8996069543379193,0.0010606954997008974,0.899608,0.8996246546900043,0.899608,127.80028346000472,0.2077703875431725,887042,0.007066137476531098,22500,2500,25000,2,-0.011192202522832595,7.736306013442001
study2,movie_reviews,FacebookAI/roberta-base,bitfit,BitFit,5,0.8903586727854875,0.0008679451560127511,0.89036,0.8903790289478953,0.89036,110.86684632000397,0.6646417648774987,694274,0.005569913861662483,22500,2500,25000,2,-0.02044048407526433,19.961172970913047
study2,movie_reviews,FacebookAI/roberta-base,ia3,IA3,5,0.8722446400707333,0.0003117245669817523,0.8722480000000001,0.8722871252282836,0.8722480000000001,118.08055992000155,0.843469922120721,619778,0.004947657861034501,22500,2500,25000,2,-0.038554516790018534,14.753329560259445
study2,movie_reviews,vinai/bertweet-base,full_ft,Full Fine-tuning,5,0.8954336775015561,0.0019219033012109704,0.89544,0.8955327083863265,0.89544,153.96650667999057,5.40531923692593,134901506,1.0,22500,2500,25000,2,0.0,0.0
study2,movie_reviews,vinai/bertweet-base,adapter,Adapter,5,0.8821097901600046,0.0006196135689111599,0.882112,0.8821407234896304,0.882112,118.47707233999972,4.884492100453205,1781762,0.013092417523909602,22500,2500,25000,2,-0.013323887341551544,23.050100379138524
study2,movie_reviews,vinai/bertweet-base,lora,LoRA,5,0.8755046170775618,0.0007724510237529452,0.875512,0.8756015491869082,0.875512,144.44394202000112,7.784178096156275,887042,0.0065325243775344,22500,2500,25000,2,-0.019929060423994338,6.184828678214731
study2,movie_reviews,vinai/bertweet-base,bitfit,BitFit,5,0.8659878823912539,0.0004977897835039774,0.866,0.8661325519984592,0.866,111.31266008000239,0.6838834129287754,694274,0.005146525198910678,22500,2500,25000,2,-0.02944579511030221,27.703328158663393
study2,movie_reviews,vinai/bertweet-base,ia3,IA3,5,0.8578993091411178,0.000679028315364503,0.8579039999999999,0.8579513423349194,0.8579039999999999,118.52439394000685,0.745561940198073,619778,0.004573289019310059,22500,2500,25000,2,-0.03753436836043833,23.019365382919197
study2,news_topic,FacebookAI/roberta-base,full_ft,Full Fine-tuning,5,0.9502430693016908,0.0013775780712147908,0.9502631578947369,0.9503580757448266,0.9502631578947369,494.67855953999094,4.888402838007165,124648708,1.0,108000,12000,7600,2,0.0,0.0
study2,news_topic,FacebookAI/roberta-base,adapter,Adapter,5,0.9343979665885882,0.0009718028132688212,0.9344473684210527,0.9346871320910546,0.9344473684210526,409.64467475999845,2.7799776591987313,1783300,0.014171356678735588,108000,12000,7600,2,-0.015845102713102577,17.18972515385886
study2,news_topic,FacebookAI/roberta-base,lora,LoRA,5,0.931894272999001,0.00044810913721105516,0.9320263157894736,0.9320927533757276,0.9320263157894736,473.3008291800041,3.2351480505802144,888580,0.007078215677241649,108000,12000,7600,2,-0.018348796302689818,4.3215397044631025
study2,news_topic,FacebookAI/roberta-base,ia3,IA3,5,0.9243111914875366,0.0009498152711797283,0.9244473684210526,0.9243085269111397,0.9244473684210528,420.91607687999493,3.090017823500953,621316,0.0049598138498001725,108000,12000,7600,2,-0.02593187781415418,14.91119460050762
