experiment_id,variant,run_mode,study,task,model,method,method_label,runs,unique_seed_count,seeds,missing_seeds,duplicate_seed_count,f1_values_by_seed,f1_mean,f1_sd,f1_min,f1_max,f1_range,f1_all_identical,accuracy_mean,precision_mean,recall_mean,train_seconds_mean,train_seconds_sd,trainable_params_mean,trainable_ratio_mean,collapsed_runs,collapse_rate,near_constant_runs,predicted_class_count_min,predicted_class_count_mean,full_class_coverage_runs,majority_prediction_rate_mean,majority_prediction_rate_max,train_rows,validation_rows,test_rows,epochs_requested,trainer_devices,seed_coverage_ok
collapse_followup_v2_pilot,baseline,FOLLOWUP,study2,finance_sentiment,FacebookAI/roberta-base,adapter,Adapter,5,5,"[42,52,62,72,82]",[],0,"[0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606]",0.24816255944660601,0,0.24816255944660601,0.24816255944660601,0,True,0.59297520661157022,0.19765840220385661,0.33333333333333331,15.397053058200981,0.10384551970375516,1782531,0.0141653322281625,5,1,5,1,1,0,1,1,1024,484,484,2,[],True
collapse_followup_v2_pilot,baseline,FOLLOWUP,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,BitFit,5,5,"[42,52,62,72,82]",[],0,"[0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606]",0.24816255944660601,0,0.24816255944660601,0.24816255944660601,0,True,0.59297520661157022,0.19765840220385661,0.33333333333333331,18.695174358412622,0.18582274958793663,695043,0.0055760488747431001,5,1,5,1,1,0,1,1,1024,484,484,2,[],True
collapse_followup_v2_pilot,baseline,FOLLOWUP,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,BitFit,5,5,"[42,52,62,72,82]",[],0,"[0.1409802930773116,0.1409802930773116,0.1409802930773116,0.1409802930773116,0.1409802930773116]",0.14098029307731161,0,0.14098029307731161,0.14098029307731161,0,True,0.39268121041520032,0.0981703026037999,0.25,14.213264966802672,0.27679634032784667,695812,0.0055821838121257001,5,1,5,1,1,0,1,1,1024,374,1421,2,[],True
collapse_followup_v2_pilot,baseline,FOLLOWUP,study2,tweet_emotion,vinai/bertweet-base,lora,LoRA,5,5,"[42,52,62,72,82]",[],0,"[0.1409802930773116,0.1409802930773116,0.1409802930773116,0.1409802930773116,0.1409802930773116]",0.14098029307731161,0,0.14098029307731161,0.14098029307731161,0,True,0.39268121041520032,0.0981703026037999,0.25,13.933227566583081,1.5300751096178757,888580,0.0065437025777082009,5,1,5,1,1,0,1,1,1024,374,1421,2,[],True
collapse_followup_v2_pilot,higher_lr,FOLLOWUP,study2,finance_sentiment,FacebookAI/roberta-base,adapter,Adapter,5,5,"[42,52,62,72,82]",[],0,"[0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606]",0.24816255944660601,0,0.24816255944660601,0.24816255944660601,0,True,0.59297520661157022,0.19765840220385661,0.33333333333333331,15.543846891599241,0.26655974673112254,1782531,0.0141653322281625,5,1,5,1,1,0,1,1,1024,484,484,2,[],True
collapse_followup_v2_pilot,higher_lr_weighted,FOLLOWUP,study2,finance_sentiment,FacebookAI/roberta-base,adapter,Adapter,5,5,"[42,52,62,72,82]",[],0,"[0.800496965044707,0.7981999357119895,0.8018218844629361,0.8142681419695424,0.8052264385597718]",0.80400267314978946,0.0062768432005026022,0.79819993571198955,0.81426814196954245,0.016068206257552897,False,0.80950413223140472,0.78558864945151119,0.83244492119118729,37.173052999796347,0.49628704277503716,1782531,0.0141653322281625,0,0,0,3,3,5,0.51652892561983454,0.52892561983471065,1024,484,484,5,[],True
collapse_followup_v2_pilot,higher_lr_weighted,FOLLOWUP,study2,finance_sentiment,FacebookAI/roberta-base,bitfit,BitFit,5,5,"[42,52,62,72,82]",[],0,"[0.7429448588161129,0.6636862335511613,0.7688161338036181,0.7905135943785337,0.7102791360975168]",0.73524799132938856,0.049962180062933341,0.6636862335511613,0.79051359437853375,0.12682736082737245,False,0.76033057851239649,0.73952481941792736,0.74030642644902822,46.44903834180441,0.27261821109134521,695043,0.0055760488747431001,0,0,0,3,3,5,0.62438016528925622,0.7024793388429752,1024,484,484,5,[],True
collapse_followup_v2_pilot,higher_lr_weighted,FOLLOWUP,study2,tweet_emotion,FacebookAI/roberta-base,bitfit,BitFit,5,5,"[42,52,62,72,82]",[],0,"[0.6771850152089158,0.7062275912266831,0.6988076686457707,0.6854463506129314,0.6802130459419266]",0.68957593432724551,0.012457473792776777,0.67718501520891583,0.7062275912266831,0.029042576017767274,False,0.73807178043631239,0.71436072756383839,0.67628763919460977,34.913405783195046,0.097627368390559618,695812,0.0055821838121257001,0,0,0,4,4,5,0.42392681210415201,0.43842364532019701,1024,374,1421,5,[],True
collapse_followup_v2_pilot,higher_lr_weighted,FOLLOWUP,study2,tweet_emotion,vinai/bertweet-base,lora,LoRA,5,5,"[42,52,62,72,82]",[],0,"[0.5776730355809214,0.3656493210015208,0.568749318101174,0.2975009926718773,0.3561078199600796]",0.43313609746311466,0.13054364622252715,0.2975009926718773,0.57767303558092142,0.28017204290904413,False,0.55693173821252628,0.49554571234455069,0.44600424254674903,23.293731025187299,6.6882321212434785,888580,0.0065437025777082009,0,0,0,3,3.3999999999999999,2,0.51315974665728359,0.75791695988740315,1024,374,1421,5,[],True
collapse_followup_v2_pilot,longer,FOLLOWUP,study2,finance_sentiment,FacebookAI/roberta-base,adapter,Adapter,5,5,"[42,52,62,72,82]",[],0,"[0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606]",0.24816255944660601,0,0.24816255944660601,0.24816255944660601,0,True,0.59297520661157022,0.19765840220385661,0.33333333333333331,22.209617500205059,0.32308518308827866,1782531,0.0141653322281625,5,1,5,1,1,0,1,1,1024,484,484,5,[],True
collapse_followup_v2_pilot,longer_weighted,FOLLOWUP,study2,finance_sentiment,FacebookAI/roberta-base,adapter,Adapter,5,5,"[42,52,62,72,82]",[],0,"[0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606]",0.24816255944660601,0,0.24816255944660601,0.24816255944660601,0,True,0.59297520661157022,0.19765840220385661,0.33333333333333331,23.651764558185825,0.29978107570864898,1782531,0.0141653322281625,5,1,5,1,1,0,1,1,1024,484,484,5,[],True
collapse_followup_v2_pilot,weighted,FOLLOWUP,study2,finance_sentiment,FacebookAI/roberta-base,adapter,Adapter,5,5,"[42,52,62,72,82]",[],0,"[0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606,0.248162559446606]",0.24816255944660601,0,0.24816255944660601,0.24816255944660601,0,True,0.59297520661157022,0.19765840220385661,0.33333333333333331,16.256535741407426,0.16056910992592935,1782531,0.0141653322281625,5,1,5,1,1,0,1,1,1024,484,484,2,[],True
