study,task,model,method,seeds,num_labels,accuracy_mean,precision_mean,recall_mean,f1_mean,f1_sd,f1_sd_exact_zero,constant_prediction_fingerprint,degenerate_stability,diagnosis
study1,measuring_hate_speech,vinai/bertweet-base,full_ft,5,2,0.82156978459722629,0.81504479743323688,0.81448814055542351,0.81475614523054762,0.00050517963539509995,False,False,False,non-zero seed variance
study1,measuring_hate_speech,vinai/bertweet-base,adapter,5,2,0.81934198878725295,0.81322448560264604,0.81073532776282831,0.81188123769060039,0.00067215878678909997,False,False,False,non-zero seed variance
study1,measuring_hate_speech,vinai/bertweet-base,lora,5,2,0.81662732369430502,0.81013569046086309,0.80858095718499734,0.80932034306496736,0.0010488909872187,False,False,False,non-zero seed variance
study1,measuring_hate_speech,vinai/bertweet-base,bitfit,5,2,0.81410445559161992,0.80739035428549,0.80634410534427148,0.80684925249510342,0.00037429184958010002,False,False,False,non-zero seed variance
study1,measuring_hate_speech,vinai/bertweet-base,ia3,5,2,0.80784892298613153,0.80125472433823897,0.79863679567462298,0.79983983423452076,0.00042851681418940002,False,False,False,non-zero seed variance
study2,finance_sentiment,FacebookAI/roberta-base,full_ft,5,3,0.85289256198347108,0.82407355308281394,0.85132946821271493,0.83639410808978687,0.0069155134435210999,False,False,False,non-zero seed variance
study2,finance_sentiment,FacebookAI/roberta-base,ia3,5,3,0.63842975206611574,0.37667397704227368,0.39937657990025272,0.36579087673175248,0.0076740376634197001,False,False,False,non-zero seed variance
study2,finance_sentiment,FacebookAI/roberta-base,lora,5,3,0.62190082644628109,0.393650279498371,0.37357894377263101,0.3247897563214468,0.033464685147888799,False,False,False,non-zero seed variance
study2,finance_sentiment,FacebookAI/roberta-base,bitfit,5,3,0.59297520661157022,0.19765840220385669,0.33333333333333331,0.24816255944660609,0,True,True,True,aggregate fingerprint consistent with constant-class collapse
study2,finance_sentiment,FacebookAI/roberta-base,adapter,5,3,0.59297520661157022,0.19765840220385669,0.33333333333333331,0.24816255944660609,0,True,True,True,aggregate fingerprint consistent with constant-class collapse
