condition,task,model,method,seed,baseline_f1,remedy_f1,delta_f1,baseline_predicted_classes,remedy_predicted_classes,baseline_majority_prediction_rate,remedy_majority_prediction_rate,baseline_collapse,remedy_collapse,baseline_epochs_completed,remedy_epochs_completed
FinancialPhraseBank sentiment / FacebookAI/roberta-base / Adapter,finance_sentiment,FacebookAI/roberta-base,adapter,42,0.26968840566666052,0.85450521130908397,0.58481680564242344,2,3,0.97933884297520635,0.52272727272727271,False,False,2,5
FinancialPhraseBank sentiment / FacebookAI/roberta-base / Adapter,finance_sentiment,FacebookAI/roberta-base,adapter,52,0.24816255944660601,0.84725035435306506,0.59908779490645903,1,3,1,0.6198347107438017,True,False,2,4
FinancialPhraseBank sentiment / FacebookAI/roberta-base / Adapter,finance_sentiment,FacebookAI/roberta-base,adapter,62,0.3301866574670827,0.84382807309815255,0.5136414156310698,2,3,0.92148760330578516,0.51652892561983454,False,False,2,5
FinancialPhraseBank sentiment / FacebookAI/roberta-base / Adapter,finance_sentiment,FacebookAI/roberta-base,adapter,72,0.28327752134431472,0.83758405102946465,0.55430652968514993,2,3,0.98140495867768596,0.53719008264462786,False,False,2,5
FinancialPhraseBank sentiment / FacebookAI/roberta-base / Adapter,finance_sentiment,FacebookAI/roberta-base,adapter,82,0.24816255944660601,0.85965612142982162,0.61149356198321558,1,3,1,0.53305785123966942,True,False,2,5
FinancialPhraseBank sentiment / FacebookAI/roberta-base / BitFit,finance_sentiment,FacebookAI/roberta-base,bitfit,42,0.24816255944660601,0.82790758651101515,0.57974502706440911,1,3,1,0.50619834710743805,True,False,2,5
FinancialPhraseBank sentiment / FacebookAI/roberta-base / BitFit,finance_sentiment,FacebookAI/roberta-base,bitfit,52,0.24816255944660601,0.8396736170723379,0.59151105762573186,1,3,1,0.52066115702479343,True,False,2,5
FinancialPhraseBank sentiment / FacebookAI/roberta-base / BitFit,finance_sentiment,FacebookAI/roberta-base,bitfit,62,0.24816255944660601,0.84746053606959915,0.59929797662299311,1,3,1,0.60123966942148765,True,False,2,4
FinancialPhraseBank sentiment / FacebookAI/roberta-base / BitFit,finance_sentiment,FacebookAI/roberta-base,bitfit,72,0.24816255944660601,0.83020635701403034,0.5820437975674243,1,3,1,0.51239669421487577,True,False,2,5
FinancialPhraseBank sentiment / FacebookAI/roberta-base / BitFit,finance_sentiment,FacebookAI/roberta-base,bitfit,82,0.24816255944660601,0.82860750317773701,0.58044494373113098,1,3,1,0.6198347107438017,True,False,2,4
TweetEval emotion / FacebookAI/roberta-base / BitFit,tweet_emotion,FacebookAI/roberta-base,bitfit,42,0.14098029307731161,0.76383596092138495,0.62285566784407331,1,4,1,0.37508796622097113,True,False,2,5
TweetEval emotion / FacebookAI/roberta-base / BitFit,tweet_emotion,FacebookAI/roberta-base,bitfit,52,0.14098029307731161,0.77312856266483032,0.63214826958751869,1,4,1,0.4060520760028149,True,False,2,5
TweetEval emotion / FacebookAI/roberta-base / BitFit,tweet_emotion,FacebookAI/roberta-base,bitfit,62,0.14098029307731161,0.76647887459921682,0.62549858152190518,1,4,1,0.39619985925404633,True,False,2,5
TweetEval emotion / FacebookAI/roberta-base / BitFit,tweet_emotion,FacebookAI/roberta-base,bitfit,72,0.14098029307731161,0.75895305116415357,0.61797275808684193,1,4,1,0.37508796622097113,True,False,2,5
TweetEval emotion / FacebookAI/roberta-base / BitFit,tweet_emotion,FacebookAI/roberta-base,bitfit,82,0.14098029307731161,0.76054644106535774,0.6195661479880461,1,4,1,0.38494018296973948,True,False,2,5
TweetEval emotion / vinai/bertweet-base / LoRA,tweet_emotion,vinai/bertweet-base,lora,42,0.14098029307731161,0.78467959550646871,0.64369930242915707,1,4,1,0.38705137227304698,True,False,2,5
TweetEval emotion / vinai/bertweet-base / LoRA,tweet_emotion,vinai/bertweet-base,lora,52,0.14098029307731161,0.77918245861385627,0.63820216553654463,1,4,1,0.38494018296973948,True,False,2,5
TweetEval emotion / vinai/bertweet-base / LoRA,tweet_emotion,vinai/bertweet-base,lora,62,0.14098029307731161,0.7828022580117987,0.64182196493448707,1,4,1,0.38212526389866291,True,False,2,5
TweetEval emotion / vinai/bertweet-base / LoRA,tweet_emotion,vinai/bertweet-base,lora,72,0.14098029307731161,0.78934977540662532,0.64836948232931368,1,4,1,0.38282899366643203,True,False,2,5
TweetEval emotion / vinai/bertweet-base / LoRA,tweet_emotion,vinai/bertweet-base,lora,82,0.14098029307731161,0.78387753936208493,0.64289724628477329,1,4,1,0.37016185784658667,True,False,2,5
