study,task,model,best_performance_method,best_performance_f1,most_efficient_method,efficient_ratio,most_stable_method,stable_f1_sd
study1,measuring_hate_speech,vinai/bertweet-base,full_ft,0.8147561452305476,ia3,0.004573289019310059,bitfit,0.00037429184958015206
study2,finance_sentiment,FacebookAI/roberta-base,full_ft,0.8363941080897869,ia3,0.004953735930040697,bitfit,0.0
study2,finance_sentiment,vinai/bertweet-base,full_ft,0.7616195225153217,ia3,0.0045789114397278416,lora,0.004209667898228785
study2,movie_reviews,FacebookAI/roberta-base,full_ft,0.9107991568607519,ia3,0.004947657861034501,ia3,0.0003117245669817523
study2,movie_reviews,vinai/bertweet-base,full_ft,0.8954336775015561,ia3,0.004573289019310059,bitfit,0.0004977897835039774
study2,news_topic,FacebookAI/roberta-base,full_ft,0.9502430693016908,ia3,0.0049598138498001725,lora,0.00044810913721105516
study2,news_topic,vinai/bertweet-base,full_ft,0.9444378935598632,ia3,0.0045845337325333985,ia3,0.00033486575420874336
study2,product_reviews,FacebookAI/roberta-base,full_ft,0.6081438351358794,ia3,0.004965891620318424,bitfit,0.0008736052299872734
study2,product_reviews,vinai/bertweet-base,full_ft,0.6087752277133172,ia3,0.004590155897731075,ia3,0.0011271248797821382
study2,tweet_emotion,FacebookAI/roberta-base,full_ft,0.708081311196205,ia3,0.0049598138498001725,bitfit,0.0
study2,tweet_emotion,vinai/bertweet-base,full_ft,0.6643138110776737,ia3,0.0045845337325333985,lora,0.0
study2,tweet_hate,FacebookAI/roberta-base,ia3,0.5726517685086809,ia3,0.004947657861034501,full_ft,0.008030250805546044
study2,tweet_hate,vinai/bertweet-base,ia3,0.5349083528249547,ia3,0.004573289019310059,bitfit,0.0032997333692177952
study2,tweet_irony,FacebookAI/roberta-base,full_ft,0.6004705363355419,ia3,0.004947657861034501,bitfit,0.013260627898248948
study2,tweet_irony,vinai/bertweet-base,full_ft,0.7365937200346119,ia3,0.004573289019310059,lora,0.01022155762844906
study2,tweet_offensive,FacebookAI/roberta-base,full_ft,0.8002625570822872,ia3,0.004947657861034501,adapter,0.0032122935264900856
study2,tweet_offensive,vinai/bertweet-base,full_ft,0.805383166022053,ia3,0.004573289019310059,full_ft,0.004159166978876555
study2,tweet_sentiment,FacebookAI/roberta-base,full_ft,0.7106253697344417,ia3,0.004953735930040697,ia3,0.0007868794722635724
study2,tweet_sentiment,vinai/bertweet-base,full_ft,0.724686852496292,ia3,0.0045789114397278416,bitfit,0.0009183380130702936
study3,comment_kmhas_binary,klue/roberta-base,full_ft,0.8874281245018525,ia3,0.005571567663940164,bitfit,0.0004826373447762142
study3,movie_nsmc,klue/roberta-base,full_ft,0.9096036134437984,ia3,0.005571567663940164,bitfit,0.0001927238068943824
study3,news_ynat,klue/roberta-base,adapter,0.8702220402136845,ia3,0.005605745220294157,adapter,0.000745059479320643
